1.0,0.239,0.3044,0.2096,0.247,0.2494,0.217,0.2918,0.2418,0.2408,0.247,0.2438,0.2684,0.2708,0.2316,0.2548,0.2428,0.2894,0.2288,0.253,0.2288,0.2484,0.2414,0.219,0.2912,0.2176,0.2736,0.2522,0.2566,0.2446,0.2562,0.2758,0.2234,0.2282,0.2296,0.2492,0.293,0.2638,0.2546,0.2298,0.2518,0.2532,0.238,0.2884,0.2204,0.2548,0.2778,0.2326,0.2348,0.2434,0.2372,0.2882,0.2312,0.2384,0.287,0.2594,0.2152,0.2884,0.2414,0.2156,0.2546,0.2298,0.2344,0.2368,0.299
0.239,1.2389999999999999,0.0,0.0,0.0,0.0,0.082,0.0754,0.0816,0.0,0.079,0.09,0.07,0.0,0.078,0.0736,0.0874,0.0,0.0806,0.0854,0.073,0.093,0.0392,0.0492,0.0576,0.0728,0.056,0.0498,0.0604,0.0732,0.0632,0.0546,0.048,0.0,0.0764,0.086,0.0766,0.0662,0.0648,0.0534,0.0546,0.0836,0.0474,0.053,0.055,0.0892,0.0504,0.0466,0.0528,0.0,0.082,0.0676,0.0894,0.0798,0.053,0.061,0.0452,0.0826,0.0566,0.0462,0.0536,0.0766,0.0474,0.0642,0.0508
0.3044,0.0,1.3044,0.0,0.0,0.0848,0.0,0.1318,0.0878,0.0888,0.0,0.0804,0.1352,0.1308,0.0,0.0922,0.0814,0.1348,0.0,0.0824,0.0872,0.0576,0.0878,0.0518,0.1072,0.0534,0.128,0.063,0.06,0.0586,0.0886,0.1072,0.05,0.0828,0.0,0.0796,0.142,0.1056,0.0836,0.0612,0.054,0.0562,0.0818,0.1094,0.057,0.0598,0.139,0.0542,0.0514,0.0868,0.0,0.1424,0.0752,0.0564,0.133,0.0596,0.0554,0.106,0.0946,0.0516,0.0522,0.0552,0.0768,0.0508,0.1216
0.2096,0.0,0.0,1.2096,0.0,0.0734,0.0638,0.0,0.0724,0.0732,0.0732,0.0,0.0632,0.063,0.0726,0.0,0.074,0.0674,0.0736,0.0,0.0686,0.0494,0.0534,0.0628,0.044,0.0408,0.0376,0.0806,0.0506,0.052,0.045,0.0662,0.0464,0.0652,0.07,0.0,0.0744,0.0408,0.0462,0.0724,0.0502,0.0558,0.0496,0.065,0.0392,0.0478,0.0438,0.0722,0.0458,0.077,0.066,0.0,0.0666,0.046,0.0462,0.0744,0.043,0.0398,0.0492,0.064,0.0566,0.0468,0.0482,0.0712,0.0434
0.247,0.0,0.0,0.0,1.2469999999999999,0.0912,0.0712,0.0846,0.0,0.0788,0.0948,0.0734,0.0,0.077,0.081,0.089,0.0,0.0872,0.0746,0.0852,0.0,0.0484,0.061,0.0552,0.0824,0.0506,0.052,0.0588,0.0856,0.0608,0.0594,0.0478,0.079,0.0802,0.0832,0.0836,0.0,0.0512,0.06,0.0428,0.093,0.0576,0.0592,0.061,0.0692,0.058,0.0446,0.0596,0.0848,0.0796,0.0892,0.0782,0.0,0.0562,0.0548,0.0644,0.0716,0.06,0.041,0.0538,0.0922,0.0512,0.062,0.0506,0.0832
0.2494,0.0,0.0848,0.0734,0.0912,1.2494,0.0,0.0,0.0,0.0,0.0926,0.0774,0.0794,0.0,0.072,0.0986,0.0788,0.0956,0.055,0.0504,0.0484,0.0,0.0788,0.0888,0.0818,0.0722,0.04,0.0688,0.0684,0.0816,0.0756,0.0414,0.0508,0.0734,0.054,0.0632,0.0588,0.0,0.0892,0.0718,0.0884,0.0932,0.0596,0.0516,0.045,0.0828,0.0466,0.0628,0.0572,0.0804,0.0556,0.0624,0.051,0.0,0.0814,0.0888,0.0792,0.084,0.0572,0.0516,0.0566,0.085,0.0552,0.0466,0.0626
0.217,0.082,0.0,0.0638,0.0712,0.0,1.217,0.0,0.0,0.0704,0.0,0.0838,0.0628,0.0646,0.0,0.0694,0.083,0.0416,0.0758,0.055,0.0446,0.0798,0.0,0.0656,0.0716,0.0424,0.0702,0.0494,0.055,0.0532,0.071,0.047,0.0458,0.0494,0.0712,0.0526,0.0438,0.0626,0.0,0.0754,0.079,0.0534,0.0722,0.0424,0.049,0.0516,0.0736,0.0466,0.0452,0.044,0.07,0.0456,0.0574,0.0746,0.0,0.076,0.0664,0.0508,0.0746,0.0414,0.0502,0.0476,0.0724,0.054,0.043
0.2918,0.0754,0.1318,0.0,0.0846,0.0,0.0,1.2918,0.0,0.085,0.0806,0.0,0.1262,0.1314,0.0794,0.0,0.081,0.1066,0.0492,0.0902,0.0458,0.0782,0.0758,0.0,0.1378,0.0534,0.1072,0.0774,0.0538,0.0536,0.0596,0.1242,0.0544,0.0518,0.0558,0.0766,0.1076,0.1298,0.0776,0.0,0.0844,0.0526,0.0556,0.136,0.0476,0.0576,0.1028,0.0792,0.0522,0.058,0.055,0.125,0.0538,0.0838,0.1384,0.0,0.0696,0.1008,0.0484,0.0784,0.0642,0.0492,0.05,0.0884,0.1042
0.2418,0.0816,0.0878,0.0724,0.0,0.0,0.0,0.0,1.2418,0.0854,0.0738,0.0826,0.0,0.0748,0.0802,0.0868,0.0,0.0456,0.0488,0.0574,0.09,0.0904,0.0868,0.0646,0.0,0.0496,0.0562,0.0566,0.0794,0.0562,0.05,0.0632,0.0724,0.0536,0.0486,0.0568,0.0828,0.0714,0.0878,0.0826,0.0,0.054,0.0506,0.0584,0.0788,0.0628,0.0548,0.044,0.0802,0.061,0.0566,0.0552,0.069,0.08,0.0672,0.0946,0.0,0.0528,0.0612,0.0442,0.0836,0.048,0.0568,0.0478,0.0892
0.2408,0.0,0.0888,0.0732,0.0788,0.0,0.0704,0.085,0.0854,1.2408,0.0,0.0,0.0,0.0,0.0816,0.0826,0.0766,0.07,0.0516,0.064,0.0552,0.081,0.0634,0.0432,0.0532,0.0,0.0726,0.0822,0.086,0.0898,0.0532,0.0514,0.0464,0.0856,0.045,0.051,0.0592,0.0724,0.0544,0.0558,0.0582,0.0,0.0838,0.0866,0.0704,0.0828,0.0576,0.0474,0.053,0.0852,0.0554,0.0526,0.0476,0.0874,0.0526,0.0568,0.044,0.0,0.0844,0.072,0.0844,0.0682,0.0484,0.0594,0.0648
